Region,Crop,Variety,Rainfall (mm),Temperature (°C),Arrival (Quintals),Min Price (Rs/qtl),Max Price (Rs/qtl),Modal Price (Rs/qtl),Humidity (%),Pesticide Used (litres/ha)
Tamil Nadu,Tomato,Local Red,52.97,35.9,1778.09,1161.1,1270.21,1250.21,51.36,4.48
Karnataka,Rice,Basmati,96.63,32.13,383.93,1537.24,1708.53,1688.53,48.61,4.11
Punjab,Wheat,HD-2967,11.06,27.92,451.63,1891.13,2017.36,1997.36,49.64,1.62
Maharashtra,Onion,Nashik Red,85.12,32.25,740.06,1007.43,1179.18,1159.18,66.58,4.67
Tamil Nadu,Tomato,Local Red,123.87,34.98,2555.55,895.9,1023.63,1003.63,84.6,4.85
Bihar,Maize,Hybrid-1,59.73,30.22,567.56,1680.69,1785.53,1765.53,77.13,4.43
Karnataka,Potato,Kufri Jyoti,23.51,25.64,2305.68,813.1,901.47,881.47,46.44,1.44
Punjab,Maize,Hybrid-1,49.33,32.77,571.28,1539.36,1751.26,1731.26,45.25,3.27
Maharashtra,Rice,Basmati,39.18,29.77,407.16,1546.78,1632.48,1612.48,43.44,2.23
Bihar,Onion,Nashik Red,134.16,34.19,1673.82,1199.32,1275.49,1255.49,63.12,3.14
Karnataka,Tomato,Local Red,123.96,29.88,1677.53,818.69,898.13,878.13,66.53,4.58
Uttar Pradesh,Tomato,Local Red,116.17,30.8,2839.58,1236.97,1421.41,1401.41,83.56,4.84
Punjab,Potato,Kufri Jyoti,9.66,28,2848.3,1605.48,1722.54,1702.54,82.33,4.56
Tamil Nadu,Wheat,HD-2967,58.12,39.86,917.92,1584.58,1715.89,1695.89,76.63,2.01
Punjab,Maize,Hybrid-1,70.24,26.97,889.38,1385.97,1458.06,1438.06,75.06,1.41
Punjab,Onion,Nashik Red,50.07,30.86,2293.99,1289.7,1444.66,1424.66,89.27,1.83
Punjab,Tomato,Local Red,40.85,30.79,1882.89,1340.34,1462.34,1442.34,53.13,4.22
Punjab,Rice,Basmati,113.73,37.85,861.9,1493.07,1622.74,1602.74,65.97,0.96
Bihar,Onion,Nashik Red,68.65,25.96,2220.91,1628.95,1674.82,1654.82,74.59,1.96
Karnataka,Wheat,HD-2967,131.73,40.04,981.01,1490.07,1595.25,1575.25,66.19,4.09
Uttar Pradesh,Potato,Kufri Jyoti,121.64,25.82,2311.28,821.76,1072.42,1052.42,81.02,4.69
Bihar,Rice,Basmati,127.25,27.02,680.55,1519.87,1712.2,1692.2,72.64,3.35
Karnataka,Rice,Basmati,129.88,31.76,933.02,1540.07,1729.72,1709.72,87.17,4.76
Karnataka,Rice,Basmati,61.25,38.81,814.96,1244.53,1368.58,1348.58,90.1,4.16
Tamil Nadu,Onion,Nashik Red,122,32.46,2652.01,835.39,1009.45,989.45,70.07,2.54
Punjab,Tomato,Local Red,117.38,30.01,2868.77,1413.25,1552.41,1532.41,59.38,4.97
Tamil Nadu,Wheat,HD-2967,135.49,38.08,410.02,1731.5,1954.7,1934.7,62.63,4.63
Karnataka,Potato,Kufri Jyoti,47.26,35.02,2279.77,1024.34,1223.49,1203.49,81.89,3.15
Karnataka,Wheat,HD-2967,98.46,38.7,904.5,1715.7,1863.25,1843.25,43.61,4.87
Bihar,Rice,Basmati,7.95,25.17,698.66,1439.81,1608.48,1588.48,44.39,4.39
Punjab,Maize,Hybrid-1,126.16,24.88,788.3,1232.59,1332.85,1312.85,40.46,4.03
Bihar,Rice,Basmati,136.42,32.12,465.32,1260.83,1342.92,1322.92,64.85,2.48
Tamil Nadu,Wheat,HD-2967,122.62,39.05,649.08,1024.63,1196,1176,62.9,3.09
Bihar,Rice,Basmati,4.17,35.88,911.01,858.74,913.14,893.14,53.62,2.4
Maharashtra,Wheat,HD-2967,18.03,28.68,846.25,866.84,1040.17,1020.17,70.59,3.03
Maharashtra,Onion,Nashik Red,19.14,25.04,2820.41,1723.22,1812.27,1792.27,69.34,1.55
Punjab,Maize,Hybrid-1,99.55,33.26,563.02,1026.86,1127.65,1107.65,72.67,2.31
Uttar Pradesh,Maize,Hybrid-1,133.71,27.13,361.14,1511.51,1622.18,1602.18,70.92,4.1
Karnataka,Onion,Nashik Red,57,28.17,2803.59,1138.82,1390.13,1370.13,47.1,3.71
Maharashtra,Potato,Kufri Jyoti,8.67,31.43,2690.42,1533.53,1666.87,1646.87,85.8,4.53
Maharashtra,Rice,Basmati,82.38,38.03,566.98,1723.7,1889.01,1869.01,44.74,1.86
Bihar,Wheat,HD-2967,127.2,26.93,523.86,1013.82,1107.71,1087.71,44.82,2.5
Karnataka,Rice,Basmati,131.03,31.86,690.8,857.9,969.49,949.49,44.6,4.85
Maharashtra,Wheat,HD-2967,70.58,30.07,488.73,1597.79,1714.41,1694.41,76.11,1.46
Tamil Nadu,Potato,Kufri Jyoti,124.99,28.11,1961.94,1135.54,1319.53,1299.53,89.14,3.42
Uttar Pradesh,Rice,Basmati,71.12,32.06,711.63,995.98,1205.95,1185.95,62.35,3.68
Bihar,Potato,Kufri Jyoti,110.26,29.6,1701.45,1142.15,1240.66,1220.66,45.86,4.49
Maharashtra,Rice,Basmati,131.83,35.49,576.99,1458.17,1534.3,1514.3,47.71,3.07
Punjab,Potato,Kufri Jyoti,19.16,26.57,1525.9,1392.43,1593.84,1573.84,87.09,3.73
Karnataka,Maize,Hybrid-1,125.43,26.39,509.04,1758.9,1844.59,1824.59,80.41,3.88
Punjab,Onion,Nashik Red,8.17,29.77,1635.79,1213.24,1313.73,1293.73,50.48,4.51
Uttar Pradesh,Wheat,HD-2967,103.2,28.9,1056.55,989.92,1132,1112,78.54,1.87
Punjab,Potato,Kufri Jyoti,20.21,26.56,1851.54,1414.21,1493.44,1473.44,83.06,3.57
Tamil Nadu,Wheat,HD-2967,22.69,35.87,908.36,956.25,1044.05,1024.05,81.54,5.03
Punjab,Onion,Nashik Red,60.04,27.77,2784.42,1465.66,1580.69,1560.69,63.94,4.37
Punjab,Onion,Nashik Red,78.31,37.77,2024.07,1073.48,1253.76,1233.76,64.71,1.23
Punjab,Wheat,HD-2967,56.57,38.12,428.97,1669.17,1771.12,1751.12,55.81,4.9
Bihar,Maize,Hybrid-1,41.79,25.07,677.97,908.67,1026.14,1006.14,85.84,1.79
Karnataka,Wheat,HD-2967,33.95,33.72,581.69,1668.29,1742.42,1722.42,75.6,2.56
Karnataka,Rice,Basmati,109.7,25.18,669.7,1709.08,1900.89,1880.89,56.32,1.39
Punjab,Maize,Hybrid-1,58.35,32.36,912.45,1157.4,1289.61,1269.61,40.78,1.26
Karnataka,Onion,Nashik Red,113.73,38.06,2666.48,1204.44,1294.88,1274.88,53.03,4.46
Bihar,Maize,Hybrid-1,93.09,32.09,597.95,1751.21,1962.74,1942.74,79.91,2.6
Karnataka,Rice,Basmati,22.55,37.18,578.04,823.79,1019.01,999.01,47.95,4.1
Bihar,Maize,Hybrid-1,12.5,36.43,576.78,1667.37,1769.28,1749.28,69.82,1.12
Maharashtra,Rice,Basmati,28.82,39.98,561.18,1606.18,1839.79,1819.79,40.56,4.35
Tamil Nadu,Tomato,Local Red,34.84,27.99,2101.08,1512.97,1631.97,1611.97,48.21,1.2
Uttar Pradesh,Potato,Kufri Jyoti,127.02,35.08,1753.83,1619.57,1732.49,1712.49,82.57,3.26
Maharashtra,Maize,Hybrid-1,120.33,37.2,1002.51,892.01,1085.49,1065.49,89.52,4.29
Bihar,Wheat,HD-2967,73.01,40.1,1011.02,1672.57,1764.3,1744.3,53.99,3.54
Maharashtra,Rice,Basmati,102.1,31.99,610.65,1302.25,1404.74,1384.74,78.42,2.55
Bihar,Onion,Nashik Red,61.84,32.06,2761.92,1614.96,1717.65,1697.65,81.5,4.04
Karnataka,Maize,Hybrid-1,97.8,33.1,644.52,1273.22,1477.17,1457.17,43.93,3.6
Uttar Pradesh,Tomato,Local Red,89.73,25.11,1645.64,866.16,992.33,972.33,84.32,3.34
Punjab,Tomato,Local Red,49.97,38.64,2407.2,1301.1,1461.22,1441.22,48.5,4.22
Punjab,Tomato,Local Red,139.85,39.83,1735.94,851.6,935.31,915.31,73.88,3.37
Punjab,Onion,Nashik Red,8.21,38.04,2601.53,1380.71,1479.69,1459.69,77.7,1.98
Tamil Nadu,Potato,Kufri Jyoti,60.69,35.05,1879.65,1503.34,1709.58,1689.58,85.03,2.02
Karnataka,Rice,Basmati,106.56,34.58,528.64,1726.98,1944.68,1924.68,62.48,2.6
Maharashtra,Tomato,Local Red,12.83,31.77,1827.67,941.07,1167.37,1147.37,58.14,2.5
Tamil Nadu,Onion,Nashik Red,65.68,31.86,1965.11,1623.78,1704.74,1684.74,89,1.34
Karnataka,Rice,Basmati,54.06,30.84,610.02,1333.67,1454.57,1434.57,57.76,4.85
Karnataka,Wheat,HD-2967,5.05,40.56,809.45,1131.28,1291.68,1271.68,48.27,3.43
Tamil Nadu,Onion,Nashik Red,26.75,28.78,1571.02,1026.84,1252.66,1232.66,48.68,2.93
Bihar,Tomato,Local Red,101.14,29.87,1640.56,804.02,1017.85,997.85,56.49,3.21
Uttar Pradesh,Tomato,Local Red,114.9,39.96,1889.07,1710.28,1805.08,1785.08,71.33,3.99
Bihar,Wheat,HD-2967,60.29,36.64,654.04,925.56,1089.71,1069.71,42.16,2.6
Uttar Pradesh,Potato,Kufri Jyoti,88.74,34.46,2433.53,979.47,1206.46,1186.46,45.11,4.03
Bihar,Wheat,HD-2967,26.78,26.85,709.64,1511.86,1636.37,1616.37,89.89,1.69
Uttar Pradesh,Onion,Nashik Red,11.19,26.77,2474.49,1306.47,1398.98,1378.98,75.77,3.39
Punjab,Potato,Kufri Jyoti,85.76,26.82,1929.68,1095.96,1302.64,1282.64,47.11,4.84
Karnataka,Tomato,Local Red,148.45,33.79,1847.62,1469.98,1676.53,1656.53,78.3,2.87
Tamil Nadu,Onion,Nashik Red,41.8,29.68,2026.54,1644.17,1833.57,1813.57,87.38,4.41
Uttar Pradesh,Tomato,Local Red,54.38,27.91,1866.45,822.36,919.11,899.11,75.36,2.26
Punjab,Maize,Hybrid-1,34.21,35.94,490.33,1778.22,1962.7,1942.7,87.94,4.91
Bihar,Onion,Nashik Red,91.89,27.7,1677.87,1054.18,1262.63,1242.63,86.16,1.57
Tamil Nadu,Onion,Nashik Red,114.61,30.01,2438.9,1661.66,1762.31,1742.31,46.86,3.25
Karnataka,Potato,Kufri Jyoti,107.94,31.86,2660.15,1305.07,1405.53,1385.53,40.18,3.92
Bihar,Rice,Basmati,117.94,37.08,508.49,1656.72,1833.34,1813.34,56.32,3.39
Maharashtra,Onion,Nashik Red,66.38,36.88,2604.27,1647.56,1854.73,1834.73,40.21,4.28
Tamil Nadu,Tomato,Local Red,53.68,36.38,1843.44,1183.29,1253.73,1233.73,52.18,4.47
Karnataka,Rice,Basmati,101.04,31.91,440.57,1539.06,1700.34,1680.34,50.55,4.19
Punjab,Wheat,HD-2967,8.19,27.51,505.21,1911.02,2005.8,1985.8,49.42,1.55
Maharashtra,Onion,Nashik Red,87.14,32.17,797.84,1011.21,1136.49,1116.49,66.75,4.53
Tamil Nadu,Tomato,Local Red,120.88,34.87,2533.69,915.54,1028.49,1008.49,85.74,4.85
Bihar,Maize,Hybrid-1,58.4,30.06,608.36,1678.78,1808.33,1788.33,74.87,4.41
Karnataka,Potato,Kufri Jyoti,26.33,25.63,2233.43,809.69,893.71,873.71,45.82,1.41
Punjab,Maize,Hybrid-1,53.75,32.62,611.39,1510.53,1746.78,1726.78,45.51,3.11
Maharashtra,Rice,Basmati,36.07,30.16,423.57,1544.07,1653.95,1633.95,44.08,2.21
Bihar,Onion,Nashik Red,136.06,33.63,1503.08,1171.79,1279.8,1259.8,62.73,3.14
Karnataka,Tomato,Local Red,122.19,30.2,1628.27,809.26,897.36,877.36,64.75,4.7
Uttar Pradesh,Tomato,Local Red,114.77,31.3,2841.34,1292.46,1413.02,1393.02,84.43,4.94
Punjab,Potato,Kufri Jyoti,13.83,28.14,2721.8,1595.03,1751.32,1731.32,82.5,4.63
Tamil Nadu,Wheat,HD-2967,56.34,40.28,908.74,1584.02,1688.6,1668.6,76.42,2.11
Punjab,Maize,Hybrid-1,73.58,27.21,806.81,1384.8,1471.33,1451.33,73.71,1.47
Punjab,Onion,Nashik Red,53.29,31.26,2360.85,1279.12,1451.4,1431.4,89.38,1.84
Punjab,Tomato,Local Red,39.81,30.94,1842.89,1341.62,1484.21,1464.21,51.95,4.38
Punjab,Rice,Basmati,115.35,38.17,885.59,1531.86,1596.14,1576.14,66.69,1.06
Bihar,Onion,Nashik Red,66.38,26.05,2293.39,1591.98,1695.36,1675.36,74.46,1.85
Karnataka,Wheat,HD-2967,136.95,40.1,880.03,1521.5,1624.42,1604.42,68.4,4.03
Uttar Pradesh,Potato,Kufri Jyoti,121.04,26.04,2330.87,839.38,1057.01,1037.01,82.87,4.66
Bihar,Rice,Basmati,126.93,27.08,639.04,1527.35,1735.23,1715.23,73.95,3.38
Karnataka,Rice,Basmati,127.77,31.89,940.21,1532.97,1714.77,1694.77,89.65,4.7
Karnataka,Rice,Basmati,61.22,38.93,784.35,1217.95,1380.44,1360.44,88.94,4.21
Tamil Nadu,Onion,Nashik Red,124.29,31.76,2556.73,830.77,973.52,953.52,70.28,2.46
Punjab,Tomato,Local Red,119.26,30.2,2947.56,1391.41,1592.24,1572.24,58.09,4.91
Tamil Nadu,Wheat,HD-2967,141.08,37.93,402.2,1766.57,1970.1,1950.1,63.22,4.64
Karnataka,Potato,Kufri Jyoti,47.06,34.99,2287.41,1031.32,1236.12,1216.12,82.88,3.11
Karnataka,Wheat,HD-2967,100.57,39.02,884,1690.38,1874.27,1854.27,43.06,4.9
Bihar,Rice,Basmati,8.68,24.53,744.54,1466.13,1610.18,1590.18,45.21,4.34
Punjab,Maize,Hybrid-1,124.57,24.81,911.43,1234.92,1349.75,1329.75,39.28,4.11
Bihar,Rice,Basmati,138.35,32.05,525.14,1264.75,1349.74,1329.74,64.13,2.59
Tamil Nadu,Wheat,HD-2967,121.69,38.92,609.38,1016.06,1136.37,1116.37,62.19,3.14
Bihar,Rice,Basmati,6.83,35.54,951.44,840.35,924.78,904.78,52.56,2.51
Maharashtra,Wheat,HD-2967,18.81,28.69,882.58,829.82,1029.06,1009.06,69.96,2.83
Maharashtra,Onion,Nashik Red,22.29,24.77,2902.04,1722.27,1805.75,1785.75,69.77,1.56
Punjab,Maize,Hybrid-1,97.71,33.24,572.26,997.86,1162.58,1142.58,73.16,2.41
Uttar Pradesh,Maize,Hybrid-1,129.16,27.04,460.8,1485.64,1599.5,1579.5,72.62,4.11
Karnataka,Onion,Nashik Red,55.94,27.95,2846.25,1156.53,1372.51,1352.51,46.47,3.7
Maharashtra,Potato,Kufri Jyoti,8.28,31.29,2708.54,1542.54,1666.95,1646.95,85.58,4.57
Maharashtra,Rice,Basmati,81.38,37.89,535.34,1737.37,1894,1874,45.84,1.79
Bihar,Wheat,HD-2967,125.9,27.04,556.06,987.34,1122.03,1102.03,46.02,2.65
Karnataka,Rice,Basmati,132.28,31.63,723.46,905.06,966.57,946.57,44.34,4.94
Maharashtra,Wheat,HD-2967,70.18,29.87,559.33,1602.96,1719.73,1699.73,76.35,1.45
Tamil Nadu,Potato,Kufri Jyoti,126.69,28.05,2068.47,1152.9,1325.5,1305.5,90.23,3.32
Uttar Pradesh,Rice,Basmati,70.8,32.09,724.37,991.34,1209.71,1189.71,62.57,3.78
Bihar,Potato,Kufri Jyoti,110.93,30.07,1740.64,1149.94,1249.82,1229.82,45.4,4.4
Maharashtra,Rice,Basmati,133.52,34.9,493.65,1468.88,1516.3,1496.3,45.92,2.99
Punjab,Potato,Kufri Jyoti,14.59,26.94,1546.49,1407.33,1579.37,1559.37,88.7,3.66
Karnataka,Maize,Hybrid-1,126.07,25.99,527.82,1754.88,1833.41,1813.41,80.42,3.82
Punjab,Onion,Nashik Red,12.16,30.04,1647.75,1220.88,1336.84,1316.84,51.07,4.45
Uttar Pradesh,Wheat,HD-2967,102.14,29,973.39,1010.48,1162.85,1142.85,77.58,1.93
Punjab,Potato,Kufri Jyoti,18.46,27.12,1771.06,1387.92,1531.43,1511.43,83.09,3.55
Tamil Nadu,Wheat,HD-2967,27.56,36.6,1051.36,927.64,1060.28,1040.28,80.9,4.94
Punjab,Onion,Nashik Red,59.37,27.85,2680.35,1475.75,1558.82,1538.82,64.62,4.46
Punjab,Onion,Nashik Red,77.97,37.68,2055.9,1065.91,1264.88,1244.88,65.32,1.37
Punjab,Wheat,HD-2967,57.93,38.03,480.82,1649.96,1792.64,1772.64,56.1,4.97
Bihar,Maize,Hybrid-1,35.04,25.05,720.85,865.15,1039.7,1019.7,87.19,1.79
Karnataka,Wheat,HD-2967,36.06,33.9,570.21,1676.1,1739.78,1719.78,76.68,2.52
Karnataka,Rice,Basmati,112.17,25.11,637.78,1724.74,1882.13,1862.13,56.08,1.47
Punjab,Maize,Hybrid-1,55.81,31.97,996,1169.58,1294.77,1274.77,41.61,1.37
Karnataka,Onion,Nashik Red,116.41,37.72,2671.84,1198.18,1300.73,1280.73,52.66,4.33
Bihar,Maize,Hybrid-1,92.79,31.76,594.25,1736.4,1973.68,1953.68,79.53,2.69
Karnataka,Rice,Basmati,22.58,36.63,529.16,819.47,958.2,938.2,46.81,4.05
Bihar,Maize,Hybrid-1,7.96,36.06,641.82,1667.89,1772.66,1752.66,68.7,1.19
Maharashtra,Rice,Basmati,25.12,40.05,582.52,1636.18,1790.44,1770.44,41.37,4.25
Tamil Nadu,Tomato,Local Red,35.28,27.87,2076.79,1490.14,1638.98,1618.98,45.93,1.17
Uttar Pradesh,Potato,Kufri Jyoti,128.49,34.75,1843.24,1620.15,1697.37,1677.37,83.49,3.21
Maharashtra,Maize,Hybrid-1,116.05,37.07,994.19,912.31,1076.7,1056.7,88.05,4.37
Bihar,Wheat,HD-2967,70.16,40.37,921.47,1628.34,1765.82,1745.82,53.78,3.57
Maharashtra,Rice,Basmati,103.09,32.05,658.54,1286.27,1384.79,1364.79,78.74,2.59
Bihar,Onion,Nashik Red,59.31,31.67,2747.62,1621.58,1734.54,1714.54,81.64,3.94
Karnataka,Maize,Hybrid-1,97.52,33.19,783.47,1249.47,1490.53,1470.53,43.46,3.71
Uttar Pradesh,Tomato,Local Red,89.84,25.24,1681.48,841.6,960.49,940.49,84.75,3.3
Punjab,Tomato,Local Red,51.59,38.77,2373.13,1245.33,1461.91,1441.91,47.7,4.36
Punjab,Tomato,Local Red,141.55,39.75,1705.98,822.02,964.68,944.68,72.07,3.42
Punjab,Onion,Nashik Red,2.83,38.04,2558.27,1357.46,1479.4,1459.4,76.15,2.08
Tamil Nadu,Potato,Kufri Jyoti,62.01,35.38,1885.3,1539.61,1747.35,1727.35,86.34,1.99
Karnataka,Rice,Basmati,104.37,34.99,547.36,1795.73,1953.69,1933.69,62.88,2.67
Maharashtra,Tomato,Local Red,8.22,32.4,1691.01,938.07,1166.58,1146.58,58.61,2.37
Tamil Nadu,Onion,Nashik Red,63.87,31.76,1954.3,1636.79,1717.36,1697.36,87.2,1.28
Karnataka,Rice,Basmati,50.1,31.2,488.1,1313.67,1481.18,1461.18,58.19,4.9
Karnataka,Wheat,HD-2967,7.34,39.9,805.06,1123.61,1286,1266,47.5,3.43
Tamil Nadu,Onion,Nashik Red,29.48,29.48,1596.83,1027.58,1222.68,1202.68,48.43,2.74
Bihar,Tomato,Local Red,104.96,30.23,1661.56,799.02,1002.25,982.25,58.93,3.27
Uttar Pradesh,Tomato,Local Red,117.17,40.12,1818.54,1650.45,1813.16,1793.16,71.12,4.08
Bihar,Wheat,HD-2967,64.77,36.56,649.39,907.96,1106,1086,41.64,2.64
Uttar Pradesh,Potato,Kufri Jyoti,89.46,34.09,2401.1,972.48,1188.09,1168.09,44.05,4.07
Bihar,Wheat,HD-2967,27.75,26.93,703.41,1521.65,1637.51,1617.51,91.21,1.6
Uttar Pradesh,Onion,Nashik Red,15.1,27.31,2518.76,1315.17,1402.66,1382.66,76.34,3.51
Punjab,Potato,Kufri Jyoti,82.78,27.07,1939.38,1137.63,1306.33,1286.33,47.64,4.91
Karnataka,Tomato,Local Red,151.94,34.02,1859.52,1481.25,1654.4,1634.4,79.6,3.04
Tamil Nadu,Onion,Nashik Red,42.39,29.72,2111.46,1643.34,1841.4,1821.4,86.49,4.36
Uttar Pradesh,Tomato,Local Red,57.32,27.98,1787.3,805.55,911.05,891.05,75.77,2.32
Punjab,Maize,Hybrid-1,32.98,36.22,420.23,1794.22,1955.36,1935.36,85.64,4.9
Bihar,Onion,Nashik Red,91.92,28.07,1642.23,1049.57,1258.89,1238.89,84.38,1.51
Tamil Nadu,Onion,Nashik Red,115.92,29.65,2462.82,1648.53,1778.04,1758.04,46.5,3.26
Karnataka,Potato,Kufri Jyoti,104.74,31.9,2712.24,1286.64,1451.98,1431.98,39.07,3.9
Bihar,Rice,Basmati,120.13,36.94,616.93,1667.72,1829.58,1809.58,56.07,3.54
Maharashtra,Onion,Nashik Red,67.15,37.26,2671.86,1644.6,1835.49,1815.49,39,4.22
Tamil Nadu,Tomato,Local Red,52.33,36.18,1844.16,1168.13,1254.87,1234.87,51.85,4.56
Karnataka,Rice,Basmati,93.84,32.15,468.61,1512.65,1692.9,1672.9,48.75,4.21
Punjab,Wheat,HD-2967,8.07,27.83,452.99,1918.15,2018.87,1998.87,47.86,1.65
Maharashtra,Onion,Nashik Red,85.93,31.87,774.74,966.53,1157.04,1137.04,65.79,4.65
Tamil Nadu,Tomato,Local Red,120.26,34.87,2591.09,885.91,1018.11,998.11,85.97,4.9
Bihar,Maize,Hybrid-1,60.01,30.25,665.28,1678.08,1780.41,1760.41,75.83,4.39
Karnataka,Potato,Kufri Jyoti,26.03,25.97,2222.35,805.74,883.77,863.77,47.87,1.33
Punjab,Maize,Hybrid-1,55.35,32.82,678.62,1533.99,1756.1,1736.1,44.93,3.06
Maharashtra,Rice,Basmati,35.9,29.85,475.71,1568.44,1643.41,1623.41,43.39,2.29
Bihar,Onion,Nashik Red,134.52,34.2,1621.43,1167.39,1276.88,1256.88,62.52,3.14
Karnataka,Tomato,Local Red,128.23,30.41,1736.56,821.18,872.36,852.36,65.94,4.66
Uttar Pradesh,Tomato,Local Red,115.36,31.22,2714.28,1264.33,1440.43,1420.43,85.88,4.9
Punjab,Potato,Kufri Jyoti,13.2,27.85,2775.6,1611.57,1713.33,1693.33,82.61,4.54
Tamil Nadu,Wheat,HD-2967,60.5,40.26,879.55,1599.21,1736.2,1716.2,74.55,2.01
Punjab,Maize,Hybrid-1,70.35,26.97,777.68,1371.86,1458.34,1438.34,74.72,1.45
Punjab,Onion,Nashik Red,50.99,31.15,2304.54,1304.5,1432.89,1412.89,90.25,1.84
Punjab,Tomato,Local Red,42.13,30.83,1938.15,1357.81,1469.71,1449.71,53.56,4.29
Punjab,Rice,Basmati,116.49,38.17,976.05,1506.65,1603.86,1583.86,66.68,0.97
Bihar,Onion,Nashik Red,65.71,26.08,2335.54,1617.77,1717.41,1697.41,77.55,1.94
Karnataka,Wheat,HD-2967,130.88,40.24,1006.95,1493.24,1621.1,1601.1,67.6,4.01
Uttar Pradesh,Potato,Kufri Jyoti,121.72,25.86,2357.27,846.54,1050.4,1030.4,82.88,4.72
Bihar,Rice,Basmati,129.5,27.46,732.9,1531.26,1734.47,1714.47,72.53,3.52
Karnataka,Rice,Basmati,129.53,32.27,958.46,1537.26,1718.8,1698.8,87.53,4.6
Karnataka,Rice,Basmati,62.89,38.9,773.29,1222.08,1361.91,1341.91,89.18,4.17
Tamil Nadu,Onion,Nashik Red,123.13,32.31,2578.73,825.92,989.45,969.45,70.25,2.61
Punjab,Tomato,Local Red,119.39,29.96,2859.15,1386.63,1598,1578,59.6,5.03
Tamil Nadu,Wheat,HD-2967,136.14,38.02,441.43,1745.54,1940.45,1920.45,62.06,4.62
Karnataka,Potato,Kufri Jyoti,48.84,35.21,2321.98,1036.84,1231.32,1211.32,82.65,3.21
Karnataka,Wheat,HD-2967,98.15,38.79,865.21,1701.87,1877.05,1857.05,43.25,4.94
Bihar,Rice,Basmati,10.25,24.5,750.87,1477.86,1627.26,1607.26,44.71,4.23
Punjab,Maize,Hybrid-1,124.28,25,909.32,1229.73,1349.53,1329.53,40.49,4.05
Bihar,Rice,Basmati,135.21,32.06,437.57,1268.86,1366.99,1346.99,65.01,2.53
Tamil Nadu,Wheat,HD-2967,120.41,38.87,571.25,1013.99,1118.96,1098.96,62.89,3.14
Bihar,Rice,Basmati,13.03,36.49,963.23,823.62,923.64,903.64,53.25,2.45
Maharashtra,Wheat,HD-2967,17.11,29.22,977,848.38,1076,1056,69.2,2.98
Maharashtra,Onion,Nashik Red,20.94,24.85,2948.99,1756.49,1811.1,1791.1,69.38,1.47
Punjab,Maize,Hybrid-1,96.41,32.89,524.38,1032.41,1160.93,1140.93,72.32,2.33
Uttar Pradesh,Maize,Hybrid-1,129.27,27.45,362.03,1495.76,1624.11,1604.11,71.86,4.08
Karnataka,Onion,Nashik Red,53.47,27.83,2867.45,1180.73,1388.17,1368.17,47.77,3.8
Maharashtra,Potato,Kufri Jyoti,6.73,31.25,2718.39,1522.93,1643.42,1623.42,84.77,4.62
Maharashtra,Rice,Basmati,81.66,38.08,503.48,1708.21,1875.67,1855.67,45.3,1.73
Bihar,Wheat,HD-2967,126.11,27.35,650.45,1014.65,1117.82,1097.82,46,2.6
Karnataka,Rice,Basmati,129.24,32.08,690.29,882.56,965.39,945.39,45.46,4.85
Maharashtra,Wheat,HD-2967,68.88,29.9,626.85,1556.06,1698.5,1678.5,77.51,1.39
Tamil Nadu,Potato,Kufri Jyoti,127.05,27.61,2040.78,1158.82,1301.69,1281.69,88.94,3.35
Uttar Pradesh,Rice,Basmati,73.56,31.99,703.02,999.84,1195.87,1175.87,63.05,3.83
Bihar,Potato,Kufri Jyoti,113.04,30.46,1769.36,1124.97,1267.73,1247.73,45.66,4.49
Maharashtra,Rice,Basmati,132.07,35.33,627.62,1459.11,1530.96,1510.96,45.65,3.07
Punjab,Potato,Kufri Jyoti,13.17,27.12,1651.43,1375.9,1586.45,1566.45,88.58,3.7
Karnataka,Maize,Hybrid-1,127.63,25.89,506.7,1743.99,1856.01,1836.01,79.73,3.69
Punjab,Onion,Nashik Red,17.13,30.19,1652.03,1225.31,1300.11,1280.11,50.85,4.45
Uttar Pradesh,Wheat,HD-2967,107.14,28.79,966.31,1003.95,1143.83,1123.83,77.77,1.98
Punjab,Potato,Kufri Jyoti,18.66,26.7,1834.76,1422.66,1538.33,1518.33,82.27,3.54
Tamil Nadu,Wheat,HD-2967,22.96,36.25,966.99,937.9,1027.55,1007.55,80.43,4.83
Punjab,Onion,Nashik Red,62.72,28.03,2664.79,1474.47,1587.36,1567.36,64.08,4.46
Punjab,Onion,Nashik Red,78.99,38.18,1957.85,1115.68,1262.51,1242.51,65.93,1.39
Punjab,Wheat,HD-2967,59.64,38.35,491.86,1680.15,1772.6,1752.6,54.53,4.86
Bihar,Maize,Hybrid-1,41.87,25.34,742.01,882.27,1054.19,1034.19,86.5,1.72
Karnataka,Wheat,HD-2967,30.83,34.09,587.96,1668.05,1737.11,1717.11,75.74,2.54
Karnataka,Rice,Basmati,109.73,24.76,728.32,1711.34,1882.1,1862.1,55.85,1.48
Punjab,Maize,Hybrid-1,62.53,32.22,943.09,1154.26,1289.76,1269.76,40.68,1.25
Karnataka,Onion,Nashik Red,112.75,37.74,2659.62,1194.75,1304.51,1284.51,53.71,4.41
Bihar,Maize,Hybrid-1,91.11,31.69,543.15,1758.11,1947.49,1927.49,80.66,2.6
Karnataka,Rice,Basmati,27.06,37.27,501.61,806.25,999.24,979.24,46.59,4.03
Bihar,Maize,Hybrid-1,8.37,36.12,492.54,1633.4,1769.36,1749.36,70.7,1.22
